Data da Venda,Nome do Produto,Preço da Venda,Flag Promoção,Estoque
2023-01-01,Produto_1,23.24,1,480
2023-01-01,Produto_1,23.24,0,480
2023-01-01,Produto_1,23.24,1,480
2023-01-01,Produto_1,23.24,0,480
2023-01-01,Produto_1,23.24,0,480
2023-01-01,Produto_2,93.39,1,394
2023-01-01,Produto_2,93.39,1,394
2023-01-01,Produto_2,93.39,1,394
2023-01-01,Produto_2,93.39,1,394
2023-01-01,Produto_3,54.29,0,318
2023-01-01,Produto_3,54.29,0,318
2023-01-01,Produto_4,33.24,0,150
2023-01-01,Produto_4,33.24,1,150
2023-01-01,Produto_4,33.24,1,150
2023-01-01,Produto_4,33.24,0,150
2023-01-01,Produto_4,33.24,0,150
2023-01-01,Produto_4,33.24,1,150
2023-01-01,Produto_5,51.32,0,112
2023-01-01,Produto_5,51.32,0,112
2023-01-01,Produto_5,51.32,1,112
2023-01-01,Produto_5,51.32,1,112
2023-01-01,Produto_5,51.32,1,112
2023-01-01,Produto_5,51.32,1,112
2023-01-01,Produto_5,51.32,0,112
2023-01-01,Produto_5,51.32,1,112
2023-01-01,Produto_5,51.32,0,112
2023-01-01,Produto_6,98.2,1,230
2023-01-01,Produto_6,98.2,1,230
2023-01-01,Produto_6,98.2,1,230
2023-01-01,Produto_6,98.2,1,230
2023-01-01,Produto_6,98.2,1,230
2023-01-01,Produto_6,98.2,0,230
2023-01-01,Produto_6,98.2,0,230
2023-01-01,Produto_6,98.2,0,230
2023-01-01,Produto_7,54.34,1,62
2023-01-01,Produto_7,54.34,0,62
2023-01-01,Produto_7,54.34,1,62
2023-01-01,Produto_7,54.34,0,62
2023-01-01,Produto_7,54.34,0,62
2023-01-01,Produto_7,54.34,1,62
2023-01-01,Produto_7,54.34,1,62
2023-01-01,Produto_7,54.34,1,62
2023-01-01,Produto_8,39.59,1,144
2023-01-01,Produto_8,39.59,0,144
2023-01-01,Produto_8,39.59,1,144
2023-01-01,Produto_8,39.59,1,144
2023-01-01,Produto_8,39.59,0,144
2023-01-01,Produto_8,39.59,1,144
2023-01-01,Produto_8,39.59,0,144
2023-01-01,Produto_8,39.59,1,144
2023-01-01,Produto_9,67.01,1,170
