Data_da_Venda,Nome_do_Produto,Preco_da_Venda,Flag_Promocao,Estoque
2023-01-01,Produto_0,26.36,1,146
2023-01-01,Produto_0,26.36,1,146
2023-01-01,Produto_0,26.36,1,146
2023-01-01,Produto_0,26.36,1,146
2023-01-01,Produto_0,26.36,1,146
2023-01-01,Produto_0,26.36,0,146
2023-01-01,Produto_1,26.51,1,478
2023-01-01,Produto_1,26.51,0,478
2023-01-01,Produto_1,26.51,1,478
2023-01-01,Produto_1,26.51,0,478
2023-01-01,Produto_1,26.51,1,478
2023-01-01,Produto_1,26.51,1,478
2023-01-01,Produto_1,26.51,0,478
2023-01-01,Produto_2,37.38,0,396
2023-01-01,Produto_2,37.38,1,396
2023-01-01,Produto_4,48.88,0,153
2023-01-01,Produto_4,48.88,0,153
2023-01-01,Produto_4,48.88,0,153
2023-01-01,Produto_5,36.21,1,120
2023-01-01,Produto_6,65.07,0,231
2023-01-01,Produto_6,65.07,0,231
2023-01-01,Produto_6,65.07,1,231
2023-01-01,Produto_6,65.07,0,231
2023-01-01,Produto_6,65.07,0,231
2023-01-01,Produto_6,65.07,1,231
2023-01-01,Produto_6,65.07,0,231
2023-01-01,Produto_7,22.55,0,67
2023-01-01,Produto_7,22.55,0,67
2023-01-01,Produto_7,22.55,1,67
2023-01-01,Produto_8,36.29,1,151
2023-01-01,Produto_9,42.97,0,166
2023-01-01,Produto_9,42.97,0,166
2023-01-01,Produto_9,42.97,1,166
2023-01-01,Produto_9,42.97,1,166
2023-01-01,Produto_9,42.97,1,166
2023-01-01,Produto_10,51.05,1,259
2023-01-01,Produto_10,51.05,0,259
2023-01-01,Produto_10,51.05,0,259
2023-01-01,Produto_10,51.05,0,259
2023-01-01,Produto_10,51.05,1,259
2023-01-01,Produto_11,80.67,0,371
2023-01-01,Produto_11,80.67,0,371
2023-01-01,Produto_11,80.67,0,371
2023-01-01,Produto_11,80.67,1,371
2023-01-01,Produto_11,80.67,1,371
2023-01-01,Produto_11,80.67,0,371
2023-01-01,Produto_11,80.67,1,371
2023-01-01,Produto_11,80.67,1,371
2023-01-01,Produto_11,80.67,0,371
2023-01-01,Produto_12,27.97,0,134
2023-01-01,Produto_12,27.97,1,134
2023-01-01,Produto_12,27.97,1,134
2023-01-01,Produto_13,56.28,0,417
2023-01-01,Produto_13,56.28,0,417
2023-01-01,Produto_13,56.28,0,417
2023-01-01,Produto_13,56.28,1,417
2023-01-01,Produto_13,56.28,0,417
2023-01-01,Produto_14,63.32,0,148
2023-01-01,Produto_15,14.18,0,400
2023-01-01,Produto_15,14.18,0,400
2023-01-01,Produto_15,14.18,0,400
2023-01-01,Produto_15,14.18,0,400
2023-01-01,Produto_15,14.18,1,400
2023-01-01,Produto_15,14.18,1,400
2023-01-01,Produto_15,14.18,1,400
2023-01-01,Produto_15,14.18,1,400
2023-01-01,Produto_15,14.18,1,400
2023-01-01,Produto_16,64.68,1,200
2023-01-01,Produto_17,25.35,0,171
2023-01-01,Produto_17,25.35,1,171
2023-01-01,Produto_17,25.35,0,171
2023-01-01,Produto_17,25.35,1,171
2023-01-01,Produto_17,25.35,0,171
2023-01-01,Produto_17,25.35,0,171
2023-01-01,Produto_17,25.35,0,171
2023-01-01,Produto_17,25.35,0,171
2023-01-01,Produto_17,25.35,0,171
2023-01-01,Produto_18,15.85,1,196
2023-01-01,Produto_18,15.85,1,196
2023-01-01,Produto_18,15.85,0,196
2023-01-01,Produto_19,95.4,0,351
2023-01-01,Produto_19,95.4,0,351
2023-01-01,Produto_19,95.4,0,351
2023-01-01,Produto_19,95.4,1,351
2023-01-01,Produto_19,95.4,0,351
2023-01-01,Produto_19,95.4,0,351
2023-01-01,Produto_19,95.4,0,351
2023-01-01,Produto_20,96.91,0,301
2023-01-01,Produto_20,96.91,0,301
2023-01-01,Produto_20,96.91,1,301
2023-01-01,Produto_20,96.91,1,301
2023-01-01,Produto_20,96.91,0,301
2023-01-01,Produto_20,96.91,1,301
2023-01-01,Produto_21,82.76,1,385
2023-01-01,Produto_21,82.76,1,385
2023-01-01,Produto_21,82.76,0,385
2023-01-01,Produto_21,82.76,0,385
2023-01-01,Produto_21,82.76,0,385
2023-01-01,Produto_21,82.76,0,385
